n
"Vlasceanu, Madalina"
"Dudik, Miroslav"
"Momennejad, Ida"
"Hong, Junyuan"
"Wang, Zhangyang"
"Zhou, Jiayu"
"Chapman, Adriane"
"Grylls, Philip"
"Ugwudike, Pamela"
"Gammack, David"
"Ayling, Jacqui"
"Benjamin, Garfield"
"Struppek, Lukas"
"Hintersdorf, Dominik"
"Neider, Daniel"
"Kersting, Kristian"
"Goyal, Priya"
"Soriano, Adriana Romero"
"Hazirbas, Caner"
"Sagun, Levent"
"Usunier, Nicolas"
"Simbeck, Katharina"
"Longoni, Chiara"
"Fradkin, Andrey"
"Cian, Luca"
"Pennycook, Gordon"
"Asher, Nicholas"
"Hunter, Julie"
"Wang, Xiuling"
"Wang, Wendy Hui"
"Engelmann, Severin"
"Ullstein, Chiara"
"Papakyriakopoulos, Orestis"
"Grossklags, Jens"
"Papadaki, Afroditi"
"Martinez, Natalia"
"Bertran, Martin"
"Sapiro, Guillermo"
"Rodrigues, Miguel"
"Singh, Anubha"
"Park, Tina"
"Birhane, Abeba"
"Kalluri, Pratyusha"
"Card, Dallas"
"Agnew, William"
"Dotan, Ravit"
"Bao, Michelle"
"Fraser, Henry"
"Simcock, Rhyle"
"Snoswell, Aaron J."
"Gradwohl, Ronen"
"Tennenholtz, Moshe"
"Luccioni, Alexandra Sasha"
"Corry, Frances"
"Sridharan, Hamsini"
"Ananny, Mike"
"Schultz, Jason"
"Crawford, Kate"
"Kallus, Nathan"
"Weidinger, Laura"
"Uesato, Jonathan"
"Rauh, Maribeth"
"Griffin, Conor"
"Huang, Po-Sen"
"Mellor, John"
"Glaese, Amelia"
"Cheng, Myra"
"Balle, Borja"
"Kasirzadeh, Atoosa"
"Biles, Courtney"
"Brown, Sasha"
"Kenton, Zac"
"Hawkins, Will"
"Stepleton, Tom"
"Hendricks, Lisa Anne"
"Rimell, Laura"
"Isaac, William"
"Haas, Julia"
"Legassick, Sean"
"Irving, Geoffrey"
"Gabriel, Iason"
"Hutiri, Wiebke Toussaint"
"Ding, Aaron Yi"
"Bell, Andrew"
"Solano-Kamaiko, Ian"
"Nov, Oded"
"Stoyanovich, Julia"
"Ha, You Jeen"
"Tedjopurnomo, David"
"Bao, Zhifeng"
"Choudhury, Farhana"
"Luo, Hui"
"Qin, A. K."
"Sikdar, Sandipan"
"Lemmerich, Florian"
"Strohmaier, Markus"
"Huang, Han-Yin"
"Liem, Cynthia C. S."
"Jakesch, Maurice"
"Bu\c{c}inca, Zana"
"Amershi, Saleema"
"Olteanu, Alexandra"
"Wang, Angelina"
"Barocas, Solon"
"Laird, Kristen"
"Wallach, Hanna"
"Ramaswamy, Vikram V"
"Russakovsky, Olga"
"Roth, Jonathan"
"Saint-Jacques, Guillaume"
"Yu, YinYin"
"Milli, Smitha"
"Belli, Luca"
"Hardt, Moritz"
"Meyer, Mikaela"
"Horowitz, Aaron"
"Marshall, Erica"
"Lum, Kristian"
"Zhang, Yunfeng"
"Bower, Amanda"
"Goetze, Trystan S."
"Laufer, Benjamin"
"Jain, Sameer"
"Cooper, A. Feder"
"Kleinberg, Jon"
"Heidari, Hoda"
"Crisan, Anamaria"
"Drouhard, Margaret"
"Vig, Jesse"
"Rajani, Nazneen"
"Shen, Hong"
"Wang, Leijie"
"Deng, Wesley H."
"Brusse, Ciell"
"Velgersdijk, Ronald"
"Zhu, Haiyi"
"Boag, William"
"Suresh, Harini"
"Lepe, Bianca"
"D'Ignazio, Catherine"
"Chowdhury, Tanya"
"Rahimi, Razieh"
"Allan, James"
"Deng, Wesley Hanwen"
"Nagireddy, Manish"
"Lee, Michelle Seng Ah"
"Singh, Jatinder"
"Wu, Zhiwei Steven"
"Holstein, Kenneth"
"Kong, Youjin"
"Zhang, Marilyn"
"Kollnig, Konrad"
"Shuba, Anastasia"
"Van Kleek, Max"
"Binns, Reuben"
"Shadbolt, Nigel"
"Markl, Nina"
"Yurrita, Mireia"
"Murray-Rust, Dave"
"Balayn, Agathe"
"Bozzon, Alessandro"
"Midha, Serena"
"Wilson, Max L."
"Sharples, Sarah"
"Niu, Mingzi"
"Kannan, Sampath"
"Roth, Aaron"
"Vohra, Rakesh"
"Smith, Jessie J."
"Wortman Vaughan, Jennifer"
"Donia, Joseph"
"Mehrotra, Anay"
"Pradelski, Bary S. R."
"Vishnoi, Nisheeth K."
"Fong, Hortense"
"Kumar, Vineet"
"Schuff, Hendrik"
"Jacovi, Alon"
"Adel, Heike"
"Goldberg, Yoav"
"Vu, Ngoc Thang"
"Ghosh, Avijit"
"Jagielski, Matthew"
"Wilson, Christo"
"Salem, Jad"
"Desai, Deven"
"Gupta, Swati"
"Movva, Rajiv"
